100 10
0 1 6.22
0 2 6.71
0 3 2.94
0 4 5.96
0 5 1.48
0 6 4.75
0 7 6.42
0 8 0.35
0 9 7.33
0 10 2.46
0 11 1.82
0 12 2.86
0 13 9.40
0 14 2.62
0 15 7.05
0 16 4.38
0 17 6.63
0 18 8.05
0 19 5.30
0 20 1.44
0 21 1.77
0 22 0.60
0 23 8.57
0 24 3.81
0 25 8.36
0 26 9.88
0 27 0.85
0 28 3.48
0 29 4.37
0 30 6.49
0 31 0.23
0 32 8.14
0 33 8.14
0 34 10.00
0 35 4.43
0 36 9.66
0 37 2.84
0 38 0.10
0 39 4.99
0 40 1.32
0 41 6.54
0 42 8.09
0 43 9.39
0 44 4.83
0 45 1.96
0 46 4.64
0 47 0.95
0 48 2.70
0 49 1.41
0 50 8.89
0 51 0.29
0 52 5.43
0 53 9.03
0 54 6.08
0 55 9.29
0 56 3.48
0 57 6.63
0 58 6.63
0 59 0.19
0 60 3.02
0 61 5.33
0 62 0.28
0 63 6.32
0 64 1.48
0 65 3.60
0 66 4.89
0 67 1.02
0 68 2.63
0 69 8.72
0 70 4.73
0 71 8.43
0 72 0.33
0 73 4.00
0 74 1.63
0 75 0.24
0 76 3.14
0 77 0.54
0 78 8.80
0 79 1.62
0 80 6.53
0 81 2.13
0 82 5.36
0 83 3.81
0 84 7.57
0 85 9.76
0 86 0.04
0 87 5.61
0 88 3.01
0 89 1.34
0 90 4.85
0 91 1.33
0 92 8.47
0 93 6.82
0 94 8.43
0 95 3.45
0 96 0.37
0 97 4.66
0 98 0.07
0 99 8.69
1 2 9.40
1 3 1.98
1 4 5.89
1 5 1.36
1 6 5.17
1 7 0.50
1 8 5.01
1 9 0.72
1 10 8.06
1 11 9.83
1 12 5.70
1 13 2.74
1 14 9.63
1 15 8.96
1 16 8.68
1 17 0.33
1 18 4.18
1 19 2.84
1 20 5.45
1 21 2.25
1 22 4.65
1 23 9.96
1 24 7.23
1 25 0.41
1 26 9.19
1 27 5.09
1 28 6.37
1 29 6.50
1 30 7.76
1 31 6.91
1 32 8.60
1 33 7.95
1 34 4.62
1 35 5.83
1 36 7.48
1 37 2.06
1 38 8.02
1 39 1.18
1 40 1.36
1 41 5.21
1 42 2.65
1 43 7.16
1 44 1.63
1 45 3.96
1 46 2.65
1 47 5.63
1 48 0.42
1 49 1.66
1 50 3.45
1 51 3.18
1 52 7.27
1 53 2.86
1 54 5.33
1 55 1.79
1 56 1.72
1 57 8.76
1 58 8.01
1 59 7.07
1 60 0.39
1 61 4.37
1 62 7.05
1 63 7.67
1 64 5.55
1 65 4.71
1 66 2.47
1 67 6.24
1 68 1.11
1 69 3.06
1 70 7.51
1 71 4.95
1 72 9.93
1 73 4.29
1 74 9.34
1 75 7.65
1 76 9.38
1 77 6.99
1 78 4.28
1 79 4.95
1 80 8.52
1 81 2.51
1 82 9.42
1 83 1.56
1 84 4.86
1 85 1.48
1 86 2.42
1 87 5.05
1 88 3.27
1 89 3.39
1 90 4.96
1 91 1.69
1 92 5.93
1 93 4.37
1 94 3.83
1 95 2.90
1 96 7.86
1 97 0.61
1 98 4.96
1 99 5.07
2 3 7.82
2 4 3.02
2 5 1.76
2 6 2.15
2 7 3.83
