100 10
0 1 8.22
0 2 8.64
0 3 0.75
0 4 6.06
0 5 2.68
0 6 3.57
0 7 7.13
0 8 3.93
0 9 7.08
0 10 4.01
0 11 4.97
0 12 4.57
0 13 0.34
0 14 5.96
0 15 0.72
0 16 5.15
0 17 7.38
0 18 1.83
0 19 9.43
0 20 0.47
0 21 4.92
0 22 2.97
0 23 1.58
0 24 9.58
0 25 3.02
0 26 1.14
0 27 2.95
0 28 7.67
0 29 7.21
0 30 1.48
0 31 5.87
0 32 2.90
0 33 2.76
0 34 7.96
0 35 8.89
0 36 1.81
0 37 2.00
0 38 2.20
0 39 2.37
0 40 0.78
0 41 8.12
0 42 1.82
0 43 8.18
0 44 4.03
0 45 3.02
0 46 4.54
0 47 6.47
0 48 3.64
0 49 2.39
0 50 6.10
0 51 2.95
0 52 1.00
0 53 1.24
0 54 9.51
0 55 1.21
0 56 2.88
0 57 4.41
0 58 4.89
0 59 6.98
0 60 2.43
0 61 4.93
0 62 8.25
0 63 1.63
0 64 1.73
0 65 9.82
0 66 5.56
0 67 0.61
0 68 5.06
0 69 5.98
0 70 7.94
0 71 5.63
0 72 6.35
0 73 2.46
0 74 1.87
0 75 0.06
0 76 6.07
0 77 5.43
0 78 8.72
0 79 6.34
0 80 2.74
0 81 8.04
0 82 3.19
0 83 1.39
0 84 8.84
0 85 1.37
0 86 3.53
0 87 8.53
0 88 5.71
0 89 7.65
0 90 1.18
0 91 9.36
0 92 4.01
0 93 4.40
0 94 7.55
0 95 6.51
0 96 4.83
0 97 8.82
0 98 5.29
0 99 7.33
1 2 4.02
1 3 3.36
1 4 9.26
1 5 6.13
1 6 6.61
1 7 5.45
1 8 9.27
1 9 1.21
1 10 0.65
1 11 1.45
1 12 5.38
1 13 3.54
1 14 4.77
1 15 1.66
1 16 2.81
1 17 0.80
1 18 9.85
1 19 3.73
1 20 2.64
1 21 8.81
1 22 2.98
1 23 7.23
1 24 7.19
1 25 8.10
1 26 8.99
1 27 5.50
1 28 7.47
1 29 0.98
1 30 7.73
1 31 0.20
1 32 8.39
1 33 5.31
1 34 1.77
1 35 8.46
1 36 2.85
1 37 7.53
1 38 5.50
1 39 2.04
1 40 2.79
1 41 7.28
1 42 1.90
1 43 1.24
1 44 7.02
1 45 6.48
1 46 8.43
1 47 7.49
1 48 3.78
1 49 0.20
1 50 7.20
1 51 6.94
